Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C10, C11, C14, C2, C3, C8, C9",0402-TIGHT,8,1.0uF,
"C12, C13",0402-TIGHT,2,0.1uF,
"C4, C5",0402-TIGHT,2,10uF,
"C6, C7",0402-TIGHT,2,4.7uF,
D1,SOD-323,1,S4 3A/10V/280mV,
D2,LED-0603,1,RED,
D3,LED-0603,1,Yellow,
D5,LED-0603,1,BLUE,
FRAME1,CREATIVE_COMMONS,1,FRAME-LEDGER,
J1,JST-2-SMD,1,JST_2MM_MALE,
J2,USB-C-16P-2LAYER-PADS,1,USB_C_2-LAYER_PADS,
"J3, J5, J6",Molex_200528-0200_1x20-1MP_P1.00mm_Horizontal,3,Conn_01x20,
"J4, J7",JST04_1MM_RA,2,QWIIC_RIGHT_ANGLE,
"JP1, JP2",SMT-JUMPER_2_NC_TRACE_SILK,2,JUMPER-SMT_2_NC_TRACE_SILK,
Q1,SOT23-3,1,DMG2305UX 20V/4.2A/52mΩ/1.4W,
Q2,SC70-6,1,MBT3904DW1T1,
"R1, R26, R3, R4, R7, R8",0402-TIGHT,6,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25",0402-TIGHT,16,150k,
"R2, R5, R6",0402-TIGHT,3,4k7,
"R27, R34, R9",0402-TIGHT,3,1k,
R28,0402-TIGHT,1,2.0k,
"R32, R33",0402-TIGHT,2,5.1k,
S1,TACTILE_SWITCH_SMD_4.6X2.8MM,1,Boot,
S2,TACTILE_SWITCH_SMD_4.6X2.8MM,1,Reset,
U1,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL345,
"U10, U2",SOT23-5,2,AP2112K-3.3,
U11,DFN-8,1,MAX17048,
U3,ESP-WROOM-32-NARROW,1,>VALUE,
U4,SOT23-5,1,MCP73831,
"U5, U6, U7, U8",TSSOP-10_3x3mm_P0.5mm,4,ADS1115IDGS,
U9,SSOP-10_3.9x4.9mm_P1.00mm,1,CH340K,
